"","Variables","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.418103896103896,0.297175723044369,0.122503782790041,0.144013818591416
"2",2,0.634392496392496,0.552877729483403,0.153265808606433,0.187541605606329
"3",3,0.771681096681097,0.721500634568168,0.163962352248484,0.198653959125562
"4",4,0.78517316017316,0.736429996225825,0.150974006578844,0.184563350489498
"5",5,0.766933621933622,0.714680539839669,0.152867390365571,0.18773277330236
"6",6,0.819314574314574,0.779318597395502,0.132612444737834,0.161944465255488
"7",7,0.848473304473304,0.814268449313409,0.123170108504867,0.151863524373592
"8",8,0.836582972582973,0.799488903708846,0.125429109885712,0.155073366607595
"9",9,0.847203463203463,0.813150401577597,0.106124073265198,0.130115680729773
"10",10,0.864266955266955,0.834413421831258,0.10267696299536,0.125391864712601
"11",12,0.85951948051948,0.827881043059903,0.11967607782207,0.146590272408985
"12",14,0.853075036075036,0.819566443590017,0.122756687658932,0.150820184554216
"13",16,0.875600288600289,0.847454699940268,0.100582871582068,0.123508458812226
"14",18,0.855282828282828,0.823027002966478,0.107614927546621,0.13138702251216
"15",20,0.890044733044733,0.865293559938917,0.0905186644951892,0.110749616968481
"16",22,0.892411255411255,0.867796885943998,0.096617103380772,0.118909528909716
"17",24,0.899489177489177,0.87638106954363,0.0953873223037104,0.117373650038313
"18",26,0.883774891774892,0.857812388470254,0.10347061206027,0.126363604976326
"19",28,0.888681096681097,0.863423603480281,0.0991372405010219,0.121727689453646
"20",30,0.908092352092352,0.887570035821397,0.0962774102275521,0.117803121267059
"21",32,0.903284271284271,0.881613748326898,0.0951629157765167,0.11651359612969
"22",34,0.909998556998557,0.890333787924209,0.0854588624557906,0.103702131063547
"23",36,0.904554112554113,0.883663667920755,0.0864234846907646,0.104938233186881
"24",38,0.90201443001443,0.88033331434106,0.0911100578928028,0.111152918651925
"25",40,0.905443001443001,0.88481402447923,0.0899296065571365,0.109478412722928
"26",42,0.917443001443001,0.899211363121548,0.0859336513409017,0.104720136987265
"27",44,0.927601731601732,0.911845395755581,0.087519068089206,0.106469588402576
"28",46,0.918712842712843,0.900756817667003,0.0852372023401416,0.103860867190072
"29",48,0.923712842712843,0.9070456530165,0.0905017590247453,0.110319869719837
"30",50,0.924157287157287,0.907722535154733,0.0833005547466415,0.101219703789923
"31",52,0.911728715728716,0.892443583731127,0.0944392811498897,0.114796307921889
"32",54,0.927443001443001,0.911821876792724,0.0782490883040346,0.0947028976191973
"33",56,0.938871572871573,0.925821876792724,0.077548260529979,0.0937243337898491
"34",58,0.938157287157287,0.924739162649499,0.0713633534269797,0.0867136998890973
"35",60,0.938871572871573,0.925821876792724,0.077548260529979,0.0937243337898491
"36",62,0.932601731601732,0.917935865034729,0.080215766789859,0.0973987419515021
"37",64,0.932157287157287,0.917838522853395,0.0865938848081794,0.104576442561587
"38",66,0.942871572871573,0.930760148397662,0.0780371894502597,0.0942705242137487
"39",68,0.927712842712843,0.91238397739885,0.085814653641461,0.103664752169367
"40",70,0.941601731601732,0.929091359668211,0.080908611660436,0.0980481168578326
"41",72,0.936601731601732,0.923053623819155,0.0810116543776508,0.0981471191179445
"42",74,0.927443001443001,0.911937987097514,0.0955284430201539,0.115774925602288
"43",76,0.92517316017316,0.909053623819155,0.091206971699217,0.110853902438648
"44",78,0.930887445887446,0.916053623819155,0.0912422799872376,0.110850375154295
"45",80,0.936443001443001,0.922558439757933,0.083684848675072,0.101959232602087
"46",82,0.942601731601732,0.930134936431991,0.0716265767713514,0.0870345249885653
"47",84,0.931887445887446,0.917097200582934,0.0832564600797076,0.101379122959398
"48",86,0.946601731601732,0.935129095517268,0.0719399198635074,0.0872891975714682
"49",88,0.935887445887446,0.921975249363422,0.0840589640031046,0.102351243432042
"50",90,0.947316017316017,0.935911872488724,0.0710984095948783,0.0863951452101963
"51",92,0.943871572871573,0.932035945771021,0.0772877986951797,0.0932885157515269
"52",94,0.931887445887446,0.917097200582934,0.0832564600797076,0.101379122959398
"53",96,0.931887445887446,0.917213310887723,0.0832564600797076,0.101296113771468
"54",98,0.937601731601732,0.924097200582934,0.0718155127450447,0.0872213222985964
"55",100,0.932601731601732,0.918175575038667,0.080215766789859,0.0971893287407672
"56",102,0.931887445887446,0.917153088063273,0.0832564600797076,0.101320812679732
"57",104,0.937601731601732,0.924213310887723,0.0718155127450447,0.0871151070792135
"58",106,0.943316017316017,0.931213310887723,0.0708233764931318,0.0858322847047865
"59",108,0.940887445887446,0.928129095517268,0.0840039594381182,0.102227458749094
"60",110,0.937887445887446,0.924410733805349,0.0877123807570946,0.106811284967895
"61",112,0.931887445887446,0.917213310887723,0.0832564600797076,0.101296113771468
"62",114,0.936887445887446,0.92325104673678,0.0834509471706366,0.101562502672781
"63",116,0.936887445887446,0.923134936431991,0.0834509471706366,0.101652478390602
"64",118,0.952316017316017,0.942012985212478,0.0701903982028826,0.0852127082668172
"65",120,0.957316017316017,0.948166831366324,0.0688935179788639,0.0835403369099704
"66",122,0.942157287157287,0.92950671789489,0.0787626650369879,0.0961618278337267
"67",124,0.945887445887446,0.934248242492512,0.0836381350817523,0.101761438702577
"68",126,0.946601731601732,0.935129095517268,0.0719399198635074,0.0872891975714682
"69",128,0.946601731601732,0.935210506643455,0.0719399198635074,0.0872206631137724
"70",130,0.951601731601732,0.941166831366325,0.0710950117737982,0.0863023030696377
"71",132,0.940887445887446,0.928129095517268,0.0840039594381182,0.102227458749094
"72",134,0.946601731601732,0.935012985212478,0.0719399198635074,0.0874103065119574
"73",136,0.953030303030303,0.943091359668211,0.0692663004315366,0.0838253710023442
"74",138,0.956046176046176,0.946539965694683,0.0704815819207186,0.085584790834556
"75",140,0.956601731601732,0.947088456910592,0.0598287778715098,0.0729811226857006
"76",142,0.946601731601732,0.935012985212478,0.0719399198635074,0.0874103065119574
"77",144,0.963030303030303,0.955166831366324,0.066106775212585,0.0800487659717862
"78",146,0.952871572871573,0.942712285911779,0.0696054733344236,0.0844616851832581
"79",148,0.941601731601732,0.928911872488724,0.080908611660436,0.0982505046384759
"80",150,0.942316017316017,0.929874136639667,0.0802077034577286,0.0973036308356506
